dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-1m,gmm,72,10,0.18736151433427817,0.24016751949931173,0.7164496944366746
ml-1m,gmm,77,10,0.18791646914969568,0.24093243750684032,0.7301702998721078
ml-1m,gmm,82,10,0.1883132163377251,0.24144600844332884,0.7251773267622438
ml-1m,gmm,87,10,0.1887546986212584,0.24213204388372764,0.7223065347747839
ml-1m,gmm,92,10,0.18900523811579784,0.2424813354850969,0.7152427742086271
ml-1m,gmm,97,10,0.1888321338948668,0.24218758460722595,0.6994156645721449
books,gmm,2,10,0.14951276037098754,0.20206792125890644,0.9845755526843856
books,gmm,7,10,0.14903811562132657,0.20135237320929944,0.9117758084477151
books,gmm,12,10,0.14765042053974906,0.19935579049636992,0.8838197789399764
books,gmm,17,10,0.1466895584050451,0.19785306397549127,0.841418582254399
books,gmm,22,10,0.14586429853950503,0.19686815817838588,0.8507465839245624
books,gmm,27,10,0.14512072751746258,0.19574259331407093,0.8553969497760197
books,gmm,32,10,0.14503993931558185,0.19569363173038207,0.8295237536203878
books,gmm,37,10,0.14436423101537288,0.1947312021135989,0.8385936125111533
books,gmm,42,10,0.14432526824265535,0.19450620153394954,0.8300360408293928
books,gmm,47,10,0.14402229711946846,0.19407216036802752,0.8160122504663685
books,gmm,52,10,0.1440215941832401,0.19410325573578519,0.8026813245356312
books,gmm,57,10,0.1438729809064167,0.19377777034462526,0.7984367503097992
books,gmm,62,10,0.14376265719425757,0.19358614870278562,0.7933049282348523
books,gmm,67,10,0.14333560257908912,0.1931172763430263,0.7967159065659262
books,gmm,72,10,0.14321021798349687,0.1929036450838838,0.7907696473240828
books,gmm,77,10,0.14298456431399123,0.19257763103155198,0.7926135824042341
books,gmm,82,10,0.14268987833654445,0.19227191916340608,0.7935790574953703
books,gmm,87,10,0.14253722907111227,0.19204546378805096,0.7885253403857515
books,gmm,92,10,0.14254357629834874,0.19198006358711178,0.7847880690049798
books,gmm,97,10,0.1426445971753693,0.19202152610763373,0.7773125435494691
jester,gmm,2,10,0.16813890854625307,0.21652048346241984,0.9991715792840911
jester,gmm,7,10,0.1681068254364482,0.21691043075245925,0.9030831352500144
jester,gmm,12,10,0.16817473749371475,0.2168693908740839,0.925012151734611
jester,gmm,17,10,0.16817280830198694,0.2169733511469158,0.8420892577679687
jester,gmm,22,10,0.1683937257351923,0.21719086002225393,0.8697817039636149
jester,gmm,27,10,0.16851583093913364,0.2174184983568413,0.8723953523725052
jester,gmm,32,10,0.16871218553817388,0.21751170481085097,0.8755481595184786
jester,gmm,37,10,0.16867958871490718,0.2176423905681919,0.8778780435120774
jester,gmm,42,10,0.16890664093382252,0.21790359566345968,0.8724109737988055
jester,gmm,47,10,0.16902210369631723,0.21798588238201333,0.88070792624371
jester,gmm,52,10,0.16890001106962985,0.21804326865852725,0.8601351372218591
jester,gmm,57,10,0.16915475092733856,0.21828373184842137,0.8594061702700113
jester,gmm,62,10,0.1691824494990864,0.21827496838077515,0.8640587510011907
jester,gmm,67,10,0.16939262054294496,0.21868391930579073,0.8593765251428673
jester,gmm,72,10,0.16945489489907256,0.21868107962834848,0.8610836760087184
jester,gmm,77,10,0.1695672722215721,0.21896588186337568,0.8704382394609441
jester,gmm,82,10,0.16971959122625674,0.2190474644156133,0.869673318028348
jester,gmm,87,10,0.1698482926487581,0.21926308582069565,0.8666674394926364
jester,gmm,92,10,0.16993699903017054,0.2193252244628988,0.8684594686042957
jester,gmm,97,10,0.16994420439985122,0.21945729925515578,0.8708174138498105
syn,gmm,2,10,0.15062831233478208,0.20443063578766596,0.9862020112676539
syn,gmm,7,10,0.16581364487657263,0.227931999494465,0.8627924670399076
syn,gmm,12,10,0.16864146157970777,0.23189532275711638,0.7743971340821845
syn,gmm,17,10,0.16980306790552976,0.23343290615753687,0.7253928230562827
syn,gmm,22,10,0.1753898340781853,0.2398956008581897,0.7588014666021123
syn,gmm,27,10,0.1787056864174488,0.2438197779124657,0.775873590944832
syn,gmm,32,10,0.18063169325935785,0.2463413220583755,0.7910762262145542
syn,gmm,37,10,0.1831842492724988,0.24908238149894663,0.7983206509221438
syn,gmm,42,10,0.18377697518615063,0.24958250814435007,0.7918201682244024
syn,gmm,47,10,0.18406262402803275,0.250204514445277,0.784568221539118
syn,gmm,52,10,0.18512882494369512,0.25118908991876887,0.7847552812910508
syn,gmm,57,10,0.18660073264735427,0.2525595857580025,0.7869492624013213
syn,gmm,62,10,0.18681101634986713,0.2527731894451257,0.7838368931615373
syn,gmm,67,10,0.18657438044405025,0.25243386494062214,0.7780205163498438
syn,gmm,72,10,0.18664169623059515,0.25240981135965984,0.7777707089587999
