dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-small,hac_W,92,10,0.16841696200543327,0.2174493086474784,0.6702808477088209
ml-small,hac_W,97,10,0.16834872348425267,0.21740280086930602,0.6789707814628085
ml-small,hac_CE,2,10,0.14886603110078603,0.19620155144784332,0.05074294950373657
ml-small,hac_CE,7,10,0.1577761464286122,0.2071024900780316,0.5925724984817363
ml-small,hac_CE,12,10,0.15972098980616964,0.209135326235605,0.528958361081519
ml-small,hac_CE,17,10,0.16167024237504415,0.21159949351491983,0.5610501070541838
ml-small,hac_CE,22,10,0.16256795697052456,0.21230629016070096,0.5495494258468117
ml-small,hac_CE,27,10,0.16354275773211105,0.2131388090681911,0.5494464027752237
ml-small,hac_CE,32,10,0.16364119712053696,0.2130947239307875,0.5354092696928244
ml-small,hac_CE,37,10,0.16490667205692916,0.2144681389779944,0.5637241012863103
ml-small,hac_CE,42,10,0.1651183631991166,0.21449848193949897,0.5559684371442735
ml-small,hac_CE,47,10,0.16575751736917638,0.21517102436136598,0.5629687316781459
ml-small,hac_CE,52,10,0.16600307463484304,0.21529419912607425,0.5585438296788671
ml-small,hac_CE,57,10,0.1665452689614274,0.2158868030554281,0.5684808348032229
ml-small,hac_CE,62,10,0.16655131084628919,0.2157209589004785,0.5668729089779219
ml-small,hac_CE,67,10,0.16660143662480725,0.21568390445114413,0.575269757387359
ml-small,hac_CE,72,10,0.16647446239088287,0.2154315673529308,0.5751374228386539
ml-small,hac_CE,77,10,0.16677167051922498,0.21558403350974534,0.5843529461069629
ml-small,hac_CE,82,10,0.16695678982011802,0.21575756407301663,0.5943888106920927
ml-small,hac_CE,87,10,0.16696393008649896,0.21560809698899935,0.6023952639720431
ml-small,hac_CE,92,10,0.16720335626937294,0.21579087554182533,0.6145929124549522
ml-small,hac_CE,97,10,0.16711764010663413,0.21552482778866974,0.6168613535914995
ml-small,hac_S,2,10,0.14835358278861777,0.19549337654395219,0.017531438179828204
ml-small,hac_S,7,10,0.15171093911144026,0.1988859444147481,0.037448149898036326
ml-small,hac_S,12,10,0.15366381432538265,0.200944306456041,0.05373310443573888
ml-small,hac_S,17,10,0.15471661692755984,0.20208836070825825,0.07256424429575428
ml-small,hac_S,22,10,0.1555562397835067,0.20300573174684286,0.08562056351927767
ml-small,hac_S,27,10,0.15621121618216174,0.20348111282950015,0.09818809550408106
ml-small,hac_S,32,10,0.157207924863423,0.20444301709863488,0.11235466752386955
ml-small,hac_S,37,10,0.15774893404918147,0.2048892801197591,0.12602979691990107
ml-small,hac_S,42,10,0.1584228594306451,0.2055068172941416,0.13745579871257163
ml-small,hac_S,47,10,0.15930055926364523,0.2063403311182792,0.1490579110638146
ml-small,hac_S,52,10,0.1596232200832016,0.20661677521618899,0.16002292338695295
ml-small,hac_S,57,10,0.15984092891296164,0.20684395597356767,0.17226409475411275
ml-small,hac_S,62,10,0.1599948927635863,0.20697251609653938,0.18241257676295183
ml-small,hac_S,67,10,0.16031000418203567,0.20726128230400692,0.19285905885808358
ml-small,hac_S,72,10,0.16054437194482013,0.20750627155296292,0.20320206986878828
ml-small,hac_S,77,10,0.16084925189062774,0.20782205199657486,0.21335841322336532
ml-small,hac_S,82,10,0.16093260031278986,0.20793868491946044,0.22344261175148622
ml-small,hac_S,87,10,0.1611264596093939,0.20811457683883466,0.23342147886769057
ml-small,hac_S,92,10,0.16126798989625948,0.20820398575153493,0.24368841326757557
ml-small,hac_S,97,10,0.16138654074923847,0.2083502299333954,0.25465277367572714
ml-small,hac_CO,2,10,0.15143568796210705,0.19951015121145768,0.4690545479725695
ml-small,hac_CO,7,10,0.158110622238628,0.2077641410965217,0.6992366125385852
ml-small,hac_CO,12,10,0.16334355097476472,0.21369127617443695,0.7519497834148279
ml-small,hac_CO,17,10,0.16489583175190545,0.21565157214046532,0.72219651991948
ml-small,hac_CO,22,10,0.1662954730440171,0.2174239723346833,0.7302838160305741
ml-small,hac_CO,27,10,0.16732550490256198,0.2182611440656596,0.7323849721277548
ml-small,hac_CO,32,10,0.16750711988445258,0.21805651146956578,0.7061754339334934
ml-small,hac_CO,37,10,0.16789614524987506,0.21828222357384633,0.7035226554510945
ml-small,hac_CO,42,10,0.16841520244339814,0.21878192778201128,0.7068026197719078
ml-small,hac_CO,47,10,0.16866849066722528,0.2190672077226697,0.716656112802
ml-small,hac_CO,52,10,0.16886671658093694,0.21909753540729274,0.7185363520793963
ml-small,hac_CO,57,10,0.16928443052303616,0.21944071181712682,0.7170033001673131
ml-small,hac_CO,62,10,0.16937607131077842,0.21938640177225052,0.718208938638058
ml-small,hac_CO,67,10,0.16932468654211677,0.21924028439783458,0.7202521696669371
ml-small,hac_CO,72,10,0.169277967321268,0.21899748356989543,0.722548558035092
ml-small,hac_CO,77,10,0.1696494023270491,0.2193012242610115,0.7286836410487096
ml-small,hac_CO,82,10,0.16966744975522852,0.219181406008876,0.7319355803244318
ml-small,hac_CO,87,10,0.1695418148988619,0.21894484527634778,0.7341245703842467
ml-small,hac_CO,92,10,0.16935404204502488,0.21864178413757776,0.735198490798306
ml-small,hac_CO,97,10,0.16916760708293513,0.21841131249253412,0.7402012302722556
ml-small,hac_pearson,2,10,0.1484294407670197,0.1956033213377494,0.11079446670081294
ml-small,hac_pearson,7,10,0.14962174113866927,0.1972143686548134,0.29339852413552464
ml-small,hac_pearson,12,10,0.15095595490575206,0.19886873251031184,0.42164188806087416
ml-small,hac_pearson,17,10,0.15162930786637505,0.19963041514768226,0.4745819673975049
ml-small,hac_pearson,22,10,0.1518087178972479,0.1998492544338695,0.5151987855313045
ml-small,hac_pearson,27,10,0.1526988350700782,0.2008824483389368,0.5653337837126112
ml-small,hac_pearson,32,10,0.15348816608415775,0.2018443373448152,0.5981764417575379
ml-small,hac_pearson,37,10,0.1540193839193405,0.20257541637944657,0.6352220018974963
ml-small,hac_pearson,42,10,0.15554251542434158,0.20451647877467125,0.6927789540227242
ml-small,hac_pearson,47,10,0.155852650573526,0.20481254850838443,0.7110364635914381
ml-small,hac_pearson,52,10,0.1559670218031771,0.20490372175714247,0.728214856959899
ml-small,hac_pearson,57,10,0.15604103097722893,0.20499564881242752,0.7411469526592038
ml-small,hac_pearson,62,10,0.15626761706781966,0.2052093587972461,0.7747932716280025
ml-small,hac_pearson,67,10,0.15637435129069926,0.20535721353663292,0.7921383366177449
ml-small,hac_pearson,72,10,0.1566496212085792,0.20570840880549085,0.8025552087050583
ml-small,hac_pearson,77,10,0.15653828379072265,0.20552869726077327,0.8191466445068046
ml-small,hac_pearson,82,10,0.15652042499858126,0.20549730301975813,0.8251400359369232
ml-small,hac_pearson,87,10,0.15649026147831674,0.2055211022023143,0.82931861374213
ml-small,hac_pearson,92,10,0.15673721292162388,0.2058097538373723,0.840506976888523
ml-small,hac_pearson,97,10,0.15660467894172272,0.205610358484493,0.8429557907703593
ml-small,hac_pearson_W,2,10,0.14934159780039763,0.19675631851579017,0.40609941764675134
ml-small,hac_pearson_W,7,10,0.15193062062193902,0.20012309475385753,0.5025236300670993
ml-small,hac_pearson_W,12,10,0.15489503120395204,0.2038249298728101,0.649518046642438
ml-small,hac_pearson_W,17,10,0.1571775497817322,0.20648154081960354,0.7515683335977493
ml-small,hac_pearson_W,22,10,0.15752273767657324,0.20680462687888354,0.7676218779794513
ml-small,hac_pearson_W,27,10,0.1576783928179304,0.207095850176432,0.7757662409253558
ml-small,hac_pearson_W,32,10,0.15840290830069118,0.2078751097615629,0.8091775173879627
ml-small,hac_pearson_W,37,10,0.15913674781625908,0.2087545656180188,0.8358648851892025
ml-small,hac_pearson_W,42,10,0.15919588123878797,0.20884533663635443,0.8333804250299586
ml-small,hac_pearson_W,47,10,0.15934021927866732,0.20896516228146916,0.8416736859267809
ml-small,hac_pearson_W,52,10,0.15935744204541694,0.20900053450927186,0.8482570337934202
ml-small,hac_pearson_W,57,10,0.1593959661584851,0.2090864533922602,0.8521327400515915
ml-small,hac_pearson_W,62,10,0.1597365274064045,0.20953713991093686,0.858879113435205
ml-small,hac_pearson_W,67,10,0.15974667041035967,0.20953876060861515,0.865941747828816
ml-small,hac_pearson_W,72,10,0.15986164328286687,0.2096707859561254,0.8728991943784262
ml-small,hac_pearson_W,77,10,0.15974431163549627,0.20948955831931498,0.871668348415303
ml-small,hac_pearson_W,82,10,0.1597163316310079,0.2094000744503378,0.8726669692556852
ml-small,hac_pearson_W,87,10,0.15997427321114982,0.20967956623533865,0.8803793196287115
ml-small,hac_pearson_W,92,10,0.15997294211439994,0.20972171075739557,0.8855945116410527
ml-small,hac_pearson_W,97,10,0.15989531930958867,0.20961590368335034,0.8914100642060132
ml-small,hac_pearson_S,2,10,0.14835597847301474,0.19549920706650642,0.017531438179828204
ml-small,hac_pearson_S,7,10,0.14831429241318778,0.19533246736909143,0.037448149898036326
