dataset,method,eps,min_samples,top_k,n_clusters_found,nmae,nrmse,entropy
jester,density,7.631578947368421,5,10,2.0,0.16696129951031569,0.2158912594158589,0.8476961590023393
jester,density,8.157894736842106,5,10,2.0,0.16701138361220869,0.21595655973097064,0.7777160818139951
jester,density,8.68421052631579,5,10,2.0,0.16708619222754126,0.21599708257590647,0.7012977200141153
jester,density,9.210526315789473,5,10,2.0,0.16724334778405767,0.2161004577450442,0.6201489136542905
jester,density,9.736842105263158,5,10,2.0,0.1673498725117339,0.21621037320701636,0.5386556542530136
jester,density,10.263157894736842,5,10,2.0,0.16735983751968758,0.21611708017324832,0.4537143846018557
jester,density,10.789473684210526,5,10,2.0,0.16754836941662457,0.21621341262405808,0.3751666652276796
jester,density,11.31578947368421,5,10,2.0,0.16760283367786558,0.21618807189988928,0.30105854522327646
jester,density,11.842105263157894,5,10,2.0,0.1676615397137981,0.21616805983515483,0.23952541191635604
jester,density,12.368421052631579,5,10,2.0,0.16773836304150508,0.2161356836596861,0.18609078198705814
jester,density,12.894736842105264,5,10,2.0,0.16775603532370825,0.2160692369013574,0.13951964684075882
jester,density,13.421052631578947,5,10,2.0,0.16783203787056836,0.21607634277070753,0.10504227442947271
jester,density,13.947368421052632,5,10,2.0,0.16790302468502638,0.2161090990942524,0.0720278980142338
jester,density,14.473684210526315,5,10,2.0,0.16792364655463174,0.2160918105642168,0.04794803412472809
jester,density,15.0,5,10,2.0,0.16793050991932099,0.21607645260421146,0.0299488642669149
ml-small,density_pearson,0.3,5,10,1.0,0.148357014339265,0.19549913103992325,0.0
ml-small,density_pearson,0.30921052631578944,5,10,1.0,0.148357014339265,0.19549913103992325,0.0
ml-small,density_pearson,0.31842105263157894,5,10,1.2,0.14837090204104916,0.19551878184724927,0.01371721880728884
ml-small,density_pearson,0.3276315789473684,5,10,2.0,0.14846313052444077,0.19565380184062173,0.07923832605411787
ml-small,density_pearson,0.3368421052631579,5,10,3.0,0.14858752441850065,0.1958253327471909,0.16372021575208406
ml-small,density_pearson,0.34605263157894733,5,10,4.0,0.148648955070669,0.19590732977958478,0.2152921594741246
ml-small,density_pearson,0.35526315789473684,5,10,3.0,0.14863239794876842,0.19585255727028097,0.3028762977005471
ml-small,density_pearson,0.3644736842105263,5,10,2.4,0.14868377106757777,0.195898543282585,0.41913135967728266
ml-small,density_pearson,0.3736842105263158,5,10,2.8,0.14868917472154747,0.19595018352006352,0.4408601186143867
ml-small,density_pearson,0.38289473684210523,5,10,4.2,0.1488489276738792,0.19627209339386784,0.3785486305339391
ml-small,density_pearson,0.39210526315789473,5,10,4.2,0.14904113573780414,0.19649336824732655,0.4279843955316056
ml-small,density_pearson,0.4013157894736842,5,10,3.8,0.14947150817444194,0.19710440916069172,0.4892622263220357
ml-small,density_pearson,0.41052631578947363,5,10,4.2,0.15055215831836635,0.19845136855185852,0.589971720130117
ml-small,density_pearson,0.41973684210526313,5,10,3.2,0.15311139645817787,0.20125183639711913,0.7460040316556729
ml-small,density_pearson,0.42894736842105263,5,10,2.8,0.15291293274754097,0.20116547087361472,0.7523401669618283
ml-small,density_pearson,0.4381578947368421,5,10,2.4,0.15218857334504912,0.20028708068654238,0.6797742597286569
ml-small,density_pearson,0.4473684210526315,5,10,2.0,0.1503535077333601,0.19783021222576821,0.44509903425738157
ml-small,density_pearson,0.45657894736842103,5,10,2.0,0.14865985892231298,0.19572389809959828,0.19630842894903397
ml-small,density_pearson,0.46578947368421053,5,10,2.0,0.14830623490021516,0.195388188955605,0.06373040143205626
ml-small,density_pearson,0.475,5,10,2.0,0.1483509942330217,0.19549572426921874,0.02323098462655374
ml-1m,density_pearson,0.3,5,10,4.2,0.1765915428207458,0.22705266274130032,0.01765109122632985
ml-1m,density_pearson,0.3078947368421053,5,10,6.2,0.1766057811472542,0.22707335169734105,0.024689977938766386
ml-1m,density_pearson,0.3157894736842105,5,10,7.6,0.17660691395996408,0.2270800999300211,0.030597134260336518
ml-1m,density_pearson,0.3236842105263158,5,10,10.8,0.17662471527516993,0.22711149858332327,0.041602399957533495
ml-1m,density_pearson,0.33157894736842103,5,10,17.0,0.1766938669401558,0.2272039287687179,0.06012885004345257
ml-1m,density_pearson,0.3394736842105263,5,10,23.4,0.17679378749892413,0.22733869917785215,0.08465961711416876
ml-1m,density_pearson,0.34736842105263155,5,10,28.8,0.1769229266115706,0.22742759222012943,0.11453902778794371
ml-1m,density_pearson,0.35526315789473684,5,10,29.8,0.1770387855827456,0.22746856730346682,0.14329433190347288
ml-1m,density_pearson,0.3631578947368421,5,10,32.6,0.17720585235281577,0.22758328104875608,0.18079204995130405
ml-1m,density_pearson,0.37105263157894736,5,10,29.2,0.1773712585979562,0.22770295870535207,0.21514291029510352
ml-1m,density_pearson,0.37894736842105264,5,10,21.8,0.17721366025773308,0.2274362819948393,0.24026837226545292
ml-1m,density_pearson,0.3868421052631579,5,10,16.0,0.1773665042636922,0.22747480464480602,0.2765816660950844
ml-1m,density_pearson,0.39473684210526316,5,10,8.4,0.17757438573486925,0.22769444316956475,0.36165290064090677
ml-1m,density_pearson,0.40263157894736845,5,10,3.8,0.17768334453300766,0.22785772492573758,0.4919879646309043
ml-1m,density_pearson,0.4105263157894737,5,10,2.2,0.17761129341039972,0.22794295022995065,0.604029396048019
ml-1m,density_pearson,0.41842105263157897,5,10,2.0,0.17749381653057283,0.22802761892119774,0.3795398489491304
ml-1m,density_pearson,0.4263157894736842,5,10,2.0,0.17726269767554642,0.2280052655772018,0.16363139507900526
ml-1m,density_pearson,0.4342105263157895,5,10,2.0,0.17694076994984154,0.2276318644466641,0.051831470297835344
ml-1m,density_pearson,0.4421052631578948,5,10,2.0,0.1766863519559156,0.22722038247195503,0.014519142568363378
ml-1m,density_pearson,0.45,5,10,2.0,0.17658112486278696,0.22703185732617967,0.0050504296732038585
books,density_pearson,0.01,5,10,1.0,0.14562459724184693,0.19689104486517545,0.0
books,density_pearson,0.03315789473684211,5,10,1.0,0.14562459724184693,0.19689104486517545,0.0
books,density_pearson,0.056315789473684215,5,10,1.0,0.14562459724184693,0.19689104486517545,0.0
books,density_pearson,0.07947368421052632,5,10,1.2,0.1456164357269708,0.19689804089787652,0.0018291104740599396
books,density_pearson,0.10263157894736842,5,10,2.2,0.14563536862643986,0.1969000579338328,0.02283927736015416
books,density_pearson,0.12578947368421053,5,10,2.4,0.1456248153127664,0.1968709906253208,0.04158091439398987
books,density_pearson,0.14894736842105266,5,10,4.4,0.14566653801940183,0.19688596705177389,0.040404906254259514
books,density_pearson,0.17210526315789476,5,10,9.4,0.14565600696730358,0.19682360537360172,0.04894040553906645
books,density_pearson,0.19526315789473686,5,10,27.8,0.14564323833705992,0.1967381113271577,0.07908470387569982
books,density_pearson,0.21842105263157896,5,10,49.4,0.14559668776189083,0.19655890188914116,0.11647600575538972
books,density_pearson,0.24157894736842106,5,10,69.0,0.14563561273402353,0.19651912837035693,0.15732187447330653
books,density_pearson,0.26473684210526316,5,10,102.4,0.14545850602542776,0.1962934076585116,0.23709594860575703
books,density_pearson,0.2878947368421053,5,10,120.0,0.14510792298026481,0.19580615601652385,0.3052668783096178
books,density_pearson,0.3110526315789474,5,10,111.0,0.14563992410387278,0.19632339857949638,0.3238577350671644
books,density_pearson,0.3342105263157895,5,10,60.4,0.14656037463062055,0.19760914446320738,0.2661588834733563
books,density_pearson,0.3573684210526316,5,10,19.4,0.1479198582624776,0.19942977220698338,0.257581001346319
books,density_pearson,0.3805263157894737,5,10,4.6,0.14731781671020822,0.19867821387116905,0.4132616476630437
books,density_pearson,0.4036842105263158,5,10,2.0,0.14574601491728897,0.19686200045735053,0.7142728943400038
books,density_pearson,0.4268421052631579,5,10,2.0,0.1447446504570887,0.19561406640877682,0.679989221605648
books,density_pearson,0.45,5,10,2.0,0.1453663013777085,0.19648714302129916,0.6737596795207337
jester,density_pearson,0.01,5,10,1.0,0.1678695003080265,0.21591745200971418,0.0
jester,density_pearson,0.027894736842105264,5,10,1.0,0.1678695003080265,0.21591745200971418,0.0
jester,density_pearson,0.045789473684210526,5,10,1.0,0.1678695003080265,0.21591745200971418,0.0
jester,density_pearson,0.06368421052631579,5,10,1.2,0.16786906749661673,0.21591733354697557,0.0012408118591663343
jester,density_pearson,0.08157894736842104,5,10,2.0,0.16786722222401768,0.21591212242995375,0.005043637886275619
jester,density_pearson,0.09947368421052631,5,10,4.2,0.16789377108067063,0.21593126896506082,0.011324487656955203
jester,density_pearson,0.11736842105263157,5,10,11.4,0.1680534631460404,0.21604165986491658,0.036367090163470506
jester,density_pearson,0.13526315789473684,5,10,11.4,0.1682560804600628,0.21618928056014913,0.08622243281658579
jester,density_pearson,0.1531578947368421,5,10,8.2,0.16844032061110586,0.21633547983268295,0.16848070062345016
jester,density_pearson,0.17105263157894737,5,10,8.2,0.16863468255669173,0.21651044497891547,0.24420743352830074
jester,density_pearson,0.18894736842105264,5,10,5.0,0.1688160021505758,0.21663083965274882,0.3905688029452411
jester,density_pearson,0.20684210526315788,5,10,3.6,0.1689208092852042,0.21669993740065072,0.5335625905502513
jester,density_pearson,0.22473684210526315,5,10,4.2,0.1691241667604567,0.21681385685117274,0.5699231252553887
jester,density_pearson,0.24263157894736842,5,10,3.2,0.16918124684024288,0.21698475675825035,0.6741205888464344
jester,density_pearson,0.26052631578947366,5,10,2.4,0.16905285691869973,0.21701067321311512,0.6508570825936266
jester,density_pearson,0.27842105263157896,5,10,2.2,0.16865888571845744,0.21666204409374684,0.4594857858812298
jester,density_pearson,0.2963157894736842,5,10,2.0,0.16829343899315785,0.21636677489976314,0.2357102481931483
jester,density_pearson,0.31421052631578944,5,10,2.0,0.16799317249244322,0.2160579705742817,0.07187186799507277
jester,density_pearson,0.33210526315789474,5,10,2.0,0.16790393253680108,0.2159551062202687,0.018085710155686725
jester,density_pearson,0.35,5,10,1.8,0.16786750488436647,0.21591639132778528,0.0011784268226625277
