dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-1m,hard,32,10,0.18630380823201045,0.23836276233222736,0.7995074571420627
ml-1m,hard,37,10,0.18687449662193856,0.23913605137378796,0.78413801719463
ml-1m,hard,42,10,0.18715736679580028,0.23946472526155943,0.7653653458656703
ml-1m,hard,47,10,0.18746283943874947,0.23992336767166797,0.7483796388607569
ml-1m,hard,52,10,0.18784063968811654,0.24034306391276453,0.7350417885866174
ml-1m,hard,57,10,0.18866230538021517,0.2414231900310555,0.7488803589183485
ml-1m,hard,62,10,0.18892357429654902,0.2417762762586027,0.7393022046864836
ml-1m,hard,67,10,0.1892471154933346,0.24223857355691414,0.7326213016815687
ml-1m,hard,72,10,0.18974307797441609,0.24293053171235313,0.73375331609437
ml-1m,hard,77,10,0.1900512781797619,0.24332194432664284,0.7262485011293908
ml-1m,hard,82,10,0.1904080026924115,0.2437771077359141,0.7221546611435933
ml-1m,hard,87,10,0.19053884467050625,0.24395631267794649,0.7151397305845195
ml-1m,hard,92,10,0.1907987005335706,0.2442942503418434,0.7100836241453501
ml-1m,hard,97,10,0.19109965731949602,0.24470746111427172,0.7064309649702931
books,hard,2,10,0.14808107964808873,0.1999308411254567,0.9607458872162219
books,hard,7,10,0.14946763384201256,0.20150163172811947,0.9215684848246184
books,hard,12,10,0.14838841245337392,0.20013360086647883,0.9230858166924023
books,hard,17,10,0.14673772989724534,0.1976356890063631,0.929827747081385
books,hard,22,10,0.14639312161020987,0.1969157349443628,0.9219288150587828
books,hard,27,10,0.14591983241549156,0.19622581870711425,0.9076694208283076
books,hard,32,10,0.14501281095369192,0.1952184580136642,0.901921532132271
books,hard,37,10,0.14439981282579054,0.19426978937429693,0.8942497340998401
books,hard,42,10,0.14367539169723034,0.19340309422633128,0.8893109066547333
books,hard,47,10,0.1432320644064659,0.19273093409343095,0.8817226430237104
books,hard,52,10,0.14295178280756135,0.1922664224665696,0.877698991332321
books,hard,57,10,0.14189505652066936,0.19081110982668315,0.8677078145508229
books,hard,62,10,0.1416241836638505,0.19034990278230982,0.8612760940861891
books,hard,67,10,0.1414341462167738,0.19008343699152452,0.8572913052782505
books,hard,72,10,0.14133966651160315,0.189956301608016,0.8474105892580344
books,hard,77,10,0.1411487100851879,0.18970672906425168,0.8405283402150706
